carbon_price,volume
5241.006895018953,0.0
5491.10441713016,0.0
5753.136434238046,0.0
6027.672452867999,0.0
6315.309156035284,0.0
6616.671700089889,0.0
6932.415073445982,0.0
7263.225520149076,0.0
7609.82203137492,0.0
7972.957908101762,0.0
8353.42239835235,0.0
8353.42239835235,0.0
9163.179755264293,4436.914107903023
9583.089445189293,4296.383085420961
10005.358195815586,4577.445130384969
10418.827805960756,4436.91410790314
10803.137020173504,985.6407617118912
11125.729632178927,5001.708887325663
11338.286013497062,4998.291112674337
11393.794810985197,5604.888962788039
11272.016213998748,2547.4589017808003
10996.719530929351,1709.057091269476
10621.88173269139,138.59504416168488
10621.88173269139,138.59504416168488
