,Carbon_Price,Compliance_Rate,Total_Emissions,Total_Abated_Tons_Cumulative,Total_Abated_Tons_Step,Total_Production,Total_Annual_Emissions,Total_Annual_Production,Market_Volume,Price_Volatility,Total_Transactions,Market_Depth,Buy_Orders,Sell_Orders,Price_Spread,market_stability_reserve_fund,market_stability_reserve_credits,Total_Penalties
0,5241.006895018953,0.0,10247076.198566288,0.0,0.0,10114649.087797979,10247076.198566288,10114649.087797979,0.0,0.01,0,137,136,1,0.8780641249995542,1000000.0,10000.0,0.0
1,5491.10441713016,0.0,10247076.198566288,0.0,0.0,10114649.087797979,20494152.397132576,20229298.175595958,0.0,0.01,0,272,271,1,0.8722178216628709,1000000.0,10000.0,0.0
2,5753.136434238046,0.0,10247076.198566288,0.0,0.0,10114649.087797979,30741228.595698863,30343947.26339394,0.0,0.01,0,407,406,1,0.8661201372269925,1000000.0,10000.0,0.0
3,6027.672452867999,0.1037037037037037,9960817.293611843,357329.0,0.0,10114649.087797979,40702045.8893107,40458596.351191916,0.0,0.01,0,528,527,1,0.8661201372269925,1000000.0,10000.0,0.0
4,6315.309156035284,0.22962962962962963,9953356.203755248,366849.0,0.0,10114649.087797979,50655402.093065955,50573245.4389899,0.0,0.01,0,632,631,1,0.8629095292009694,1000000.0,10000.0,0.0
5,6616.671700089889,0.23703703703703705,9943252.342013374,378879.0,0.0,10114649.087797979,60598654.43507933,60687894.52678788,0.0,0.01,0,735,734,1,0.8565000003702883,1000000.0,10000.0,0.0
6,6932.415073445982,0.2814814814814815,9931017.833021324,394239.0,0.0,10114649.087797979,70529672.26810065,70802543.61458586,0.0,0.01,0,832,831,1,0.8497979430051963,1000000.0,10000.0,0.0
7,7263.225520149076,0.2962962962962963,9916910.15934748,411525.65,0.0,10114649.087797979,80446582.42744814,80917192.70238383,0.0,0.01,0,927,926,1,0.8426979578501851,1000000.0,10000.0,0.0
8,7609.82203137492,0.31851851851851853,9887457.907158015,447683.65,0.0,10114649.087797979,90334040.33460616,91031841.79018182,0.0,0.01,0,1019,1018,1,0.8351208185939278,1000000.0,10000.0,0.0
9,7972.957908101762,0.3333333333333333,9879689.832188014,457079.65,0.0,10114649.087797979,100213730.16679417,101146490.8779798,0.0,0.01,0,1109,1108,1,0.8274204252754516,1000000.0,10000.0,0.0
10,8353.42239835235,0.3333333333333333,9874976.709340414,463253.65,0.0,10114649.087797979,110088706.87613457,111261139.96577777,0.0,0.01,0,1199,1198,1,0.8193605688139849,1000000.0,10000.0,0.0
11,8353.42239835235,0.34814814814814815,9864122.81741246,477234.65,0.0,10114649.087797979,119952829.69354704,121375789.05357575,0.0,0.01,0,1287,1286,1,0.8193605688139849,1000000.0,10000.0,0.0
12,9162.77185037476,0.3851851851851852,9835058.196489353,513218.65,0.0,10114649.087797979,9835058.196489353,10114649.087797979,2181.6141322754206,0.01,1,1074,1037,37,-0.3375848108849176,1000000.0,10000.0,33256934116.49812
13,9581.702192388488,0.37777777777777777,9827528.51616012,522446.65,0.0,10114649.087797979,19662586.712649472,20229298.175595958,5322.395246148435,0.01,2,1001,926,75,-0.40029563839171384,1000000.0,10000.0,33256934116.49812
14,10002.122074544448,0.3851851851851852,9814706.227344515,538480.65,0.0,10114649.087797979,29477292.93999399,30343947.26339394,3752.004689211899,0.01,3,944,831,113,-0.4665380329915847,1000000.0,10000.0,33256934116.49812
15,10412.347140809154,0.3851851851851852,9806036.702930376,549582.8,0.0,10114649.087797979,39283329.64292436,40458596.351191916,580.0040730943565,0.01,4,906,756,150,-0.5344344781549686,1000000.0,10000.0,33256934116.49812
16,10791.952905740018,0.37777777777777777,9748917.497483449,619820.85,0.0,10114649.087797979,49032247.140407816,50573245.4389899,5271.123900672047,0.010101012513986462,5,875,685,190,-0.6001867650519254,1000000.0,10000.0,33256934116.49812
17,11108.88173347778,0.3851851851851852,9696402.800655546,686308.7,0.0,10114649.087797979,58728649.94106336,60687894.52678788,3178.4585543257176,0.016245122440642565,6,853,621,232,-0.6646228178169747,1000000.0,10000.0,33256934116.49812
18,11318.84821744926,0.4148148148148148,9614616.264755389,788274.7,0.0,10114649.087797979,68343266.20581874,70802543.61458586,1550.4175450022353,0.025356231093564125,7,833,560,273,-0.7229503162454763,1000000.0,10000.0,33256934116.49812
19,11375.539450952483,0.4222222222222222,9564316.322297737,851403.35,0.0,10114649.087797979,77907582.52811648,80917192.70238383,6863.212138634167,0.03786969099486699,8,820,501,319,-0.7699905526515262,1000000.0,10000.0,33256934116.49812
20,11258.449576766603,0.4444444444444444,9554172.647339957,864273.2,0.0,10114649.087797979,87461755.17545643,91031841.79018182,2725.7763026200264,0.05297453638301703,9,810,444,366,-0.8072928455406821,1000000.0,10000.0,33256934116.49812
21,10990.81682428742,0.4444444444444444,9547865.656132393,872456.15,0.0,10114649.087797979,97009620.83158883,101146490.8779798,411.0115587458067,0.0687479842772959,10,800,388,412,-0.8179023725296802,1000000.0,10000.0,33256934116.49812
22,10623.52599061374,0.45925925925925926,9543042.88880081,878206.4,0.0,10114649.087797979,106552663.72038965,111261139.96577777,9588.988441254194,0.08337578587575227,11,791,332,459,-0.8179023725296802,1000000.0,10000.0,33256934116.49812
23,10623.52599061374,0.4666666666666667,9543042.88880081,878206.4,0.0,10114649.087797979,116095706.60919045,121375789.05357575,9588.988441254194,0.08337578587575227,11,870,365,505,-0.8179023725296802,1000000.0,10000.0,33256934116.49812
